,actors,movies
554,priyanka chopra,Andaaz
555,rajeev verma,Andaaz
556,ajinkya deo,Avgat
557,nethra raghuraman,Avgat
558,sayaji shinde,Avgat
559,rohini hattangadi,Avgat
560,shah rukh khan,Chalte Chalte
561,rani mukerji,Chalte Chalte
562,jas arora,Chalte Chalte
563,satish shah,Chalte Chalte
564,sunny deol,The Hero: Love Story of a Spy
565,preity zinta,The Hero: Love Story of a Spy
566,priyanka chopra,The Hero: Love Story of a Spy
567,amrish puri,The Hero: Love Story of a Spy
568,sanjay suri,Jhankaar Beats
569,rahul bose,Jhankaar Beats
570,juhi chawla,Jhankaar Beats
571,rinke khanna,Jhankaar Beats
572,shah rukh khan,Kal Ho Naa Ho
573,preity zinta,Kal Ho Naa Ho
574,saif ali khan,Kal Ho Naa Ho
575,jaya bhaduri,Kal Ho Naa Ho
576,amitabh bachchan,Khakee
577,akshay kumar,Khakee
578,ajay devgn,Khakee
579,aishwarya rai bachchan,Khakee
580,sanjay dutt,LOC: Kargil
581,ajay devgn,LOC: Kargil
582,saif ali khan,LOC: Kargil
583,sunil shetty,LOC: Kargil
584,shah rukh khan,Main Hoon Na
585,sushmita sen,Main Hoon Na
586,sunil shetty,Main Hoon Na
587,zayed khan,Main Hoon Na
588,urmila matondkar,Pinjar
589,manoj bajpayee,Pinjar
590,sanjay suri,Pinjar
591,sandali sinha,Pinjar
592,shabana azmi,Tehzeeb
593,urmila matondkar,Tehzeeb
594,arjun rampal,Tehzeeb
595,dia mirza,Tehzeeb
596,imran ahmed khan,Tere Liye
597,sonali khare,Tere Liye
598,neelu kohli,Tere Liye
599,hiten paintal,Tere Liye
600,ritesh deshmukh,Tujhe Meri Kasam
601,shakti kapoor,Tujhe Meri Kasam
602,supriya karnik,Tujhe Meri Kasam
603,satish shah,Tujhe Meri Kasam
604,pummy brar,Aapko Pehle Bhi Kahin Dekha Hai
605,priyanshu chatterjee,Aapko Pehle Bhi Kahin Dekha Hai
606,crystal,Aapko Pehle Bhi Kahin Dekha Hai
607,harry,Aapko Pehle Bhi Kahin Dekha Hai
608,fardeen khan,Khushi
609,kareena kapoor,Khushi
610,amrish puri,Khushi
611,amitabh bachchan,Khushi
612,ashay chitre,Kucch To Hai
613,esha deol,Kucch To Hai
614,anita hassandani,Kucch To Hai
615,vrajesh hirjee,Kucch To Hai
616,govinda,Chalo Ishq Ladaaye
617,kader khan,Chalo Ishq Ladaaye
618,rani mukerji,Chalo Ishq Ladaaye
619,zohra segal,Chalo Ishq Ladaaye
620,bipasha basu,Jism
621,john abraham,Jism
622,gulshan grover,Jism
623,vinay pathak,Jism
624,atul kulkarni,88 Antop Hill
625,rahul dev,88 Antop Hill
626,suchitra pillai-malik,88 Antop Hill
627,shweta menon,88 Antop Hill
628,jackie shroff,Baaz: A Bird in Danger
629,sunil shetty,Baaz: A Bird in Danger
630,karisma kapoor,Baaz: A Bird in Danger
631,dino morea,Baaz: A Bird in Danger
632,sameera reddy,Darna Mana Hai
633,antara mali,Darna Mana Hai
634,sohail khan,Darna Mana Hai
635,saif ali khan,Darna Mana Hai
636,manoj bajpayee,Inteqam: The Perfect Game
637,isha koppikar,Inteqam: The Perfect Game
638,nethra raghuraman,Inteqam: The Perfect Game
639,parmita katkar,Inteqam: The Perfect Game
640,himanshu malik,Khwahish
641,mallika sherawat,Khwahish
642,shivaji satam,Khwahish
643,mahmud babai,Khwahish
644,amitabh bachchan,Kyun! Ho Gaya Na...
645,vivek oberoi,Kyun! Ho Gaya Na...
646,aishwarya rai bachchan,Kyun! Ho Gaya Na...
647,om puri,Kyun! Ho Gaya Na...
648,saif ali khan,Ek Hasina Thi
649,urmila matondkar,Ek Hasina Thi
650,seema biswas,Ek Hasina Thi
651,aditya srivastava,Ek Hasina Thi
652,juhi babbar,Kash... Aap Hamare Hote
653,sonu nigam,Kash... Aap Hamare Hote
654,om puri,Kash... Aap Hamare Hote
